l,C_l_GoE,C_l_LCDM,D_l_GoE,D_l_LCDM
120,4.1538552576872955e-08,1.3840955002598816e-08,9.599267790606265e-05,3.1985475011868957e-05
121,4.060610768358754e-08,1.3680403588653926e-08,9.540182762717083e-05,3.214135950199457e-05
122,3.9701215761901773e-08,1.3521919855804477e-08,9.481758289737961e-05,3.2294118259466835e-05
123,3.882292906964552e-08,1.3365498385523786e-08,9.423998898992034e-05,3.244382767814846e-05
124,3.797033755774547e-08,1.3211132726864557e-08,9.366908715433705e-05,3.259056469851588e-05
125,3.714256709116827e-08,1.3058815431767701e-08,9.310491463898819e-05,3.2734406673526216e-05
126,3.6338777768638576e-08,1.2908538090314628e-08,9.254750471696286e-05,3.2875431237907735e-05
127,3.5558162334873985e-08,1.2760291365876328e-08,9.199688671527989e-05,3.3013716180972854e-05
128,3.479994467952192e-08,1.2614065030114857e-08,9.145308604724273e-05,3.3149339323043355e-05
129,3.406337841738896e-08,1.2469847997794653e-08,9.091612424781945e-05,3.3282378395566756e-05
130,3.334774554492942e-08,1.2327628361363264e-08,9.038601901191961e-05,3.341291092499301e-05
131,3.2652355168307694e-08,1.2187393425263335e-08,8.98627842354417e-05,3.354101412047214e-05
132,3.1976542298668776e-08,1.2049129739939373e-08,8.934643005896367e-05,3.3666764765422755e-05
133,3.1319666710548746e-08,1.1912823135505319e-08,8.88369629139518e-05,3.37902391130142e-05
134,3.068111185963144e-08,1.1778458755040542e-08,8.833438557136432e-05,3.3911512785595034e-05
135,3.006028385631202e-08,1.1646021087484277e-08,8.7838697192528e-05,3.4030660678093523e-05
136,2.9456610491763164e-08,1.1515494000100135e-08,8.73498933821664e-05,3.414775686540694e-05
137,2.886954031341896e-08,1.1386860770484665e-08,8.686796624346299e-05,3.4262874513789975e-05
138,2.8298541746993334e-08,1.1260104118095469e-08,8.639290443504202e-05,3.4376085796244333e-05
139,2.7743102262338245e-08,1.1135206235276612e-08,8.592469322975378e-05,3.448746181190569e-05
140,2.7202727580621198e-08,1.1012148817760554e-08,8.546331457515206e-05,3.459707250941663e-05
141,2.6676940920464214e-08,1.0890913094628046e-08,8.50087471555561e-05,3.470498661426956e-05
142,2.616528228083665e-08,1.07714798577088e-08,8.456096645559001e-05,3.4811271560096176e-05
143,2.5667307758634342e-08,1.0653829490407603e-08,8.411994482509564e-05,3.491599342387546e-05
144,2.518258889900874e-08,1.0537941995942376e-08,8.368565154531956e-05,3.501921686502757e-05
145,2.4710712076629982e-08,1.042379702498188e-08,8.325805289627514e-05,3.512100506835476e-05
146,2.4251277906181753e-08,1.0311373902672795e-08,8.283711222518563e-05,3.522141969078778e-05
147,2.380390068049045e-08,1.0200651655046909e-08,8.242279001591577e-05,3.53205208118904e-05
148,2.3368207834789964e-08,1.0091609034801075e-08,8.201504395930425e-05,3.5418366888072534e-05
149,2.2943839435714054e-08,9.98422454644351e-09,8.161382902430963e-05,3.551501471045735e-05
150,2.253044769369469e-08,9.878476470801728e-09,8.121909752988905e-05,3.561051936634597e-05
151,2.2127696497523397e-08,9.774342888888348e-09,8.08307992175283e-05,3.570493420421943e-05
152,2.173526096990794e-08,9.671801705122457e-09,8.044888132434824e-05,3.579831080221537e-05
153,2.1352827042925357e-08,9.570830669905135e-09,8.007328865671273e-05,3.589069894001446e-05
154,2.098009105233814e-08,9.471407401549101e-09,7.970396366426913e-05,3.5982146574069704e-05
155,2.061675934980009e-08,9.373509407563075e-09,7.934084651435186e-05,3.6072699816108894e-05
156,2.0262547932036127e-08,9.277114105292867e-09,7.898387516668611e-05,3.616240291484031e-05
157,1.9917182086132558e-08,9.182198841921672e-09,7.863298544832857e-05,3.625129824078874e-05
158,1.9580396050124764e-08,9.088740913833295e-09,7.828811112878655e-05,3.633942627418898e-05
159,1.9251932688115128e-08,8.99671758534243e-09,7.79491839952589e-05,3.642682559586168e-05
160,1.8931543179198125e-08,8.906106106797186e-09,7.761613392794447e-05,3.651353288099644e-05
161,1.8618986719509895e-08,8.816883732059477e-09,7.72888889753665e-05,3.659958289576553e-05
162,1.8314030236758428e-08,8.729027735369719e-09,7.69673754296645e-05,3.6685008496691894e-05
163,1.801644811662557e-08,8.642515427602666e-09,7.665151790180508e-05,3.676984063269346e-05
164,1.772602194046665e-08,8.557324171921863e-09,7.63412393966686e-05,3.685410834972643e-05
165,1.7442540233764188e-08,8.473431398840598e-09,7.603646138796683e-05,3.693783879794944e-05
166,1.7165798224822613e-08,8.390814620697723e-09,7.573710389295242e-05,3.702105724133051e-05
167,1.6895597613217935e-08,8.309451445556969e-09,7.544308554687894e-05,3.710378706961841e-05
168,1.6631746347543228e-08,8.229319590538903e-09,7.515432367717539e-05,3.718604981260064e-05
169,1.6374058412014746e-08,8.150396894594745e-09,7.487073437729788e-05,3.726786515656942e-05
170,1.612235362152681e-08,8.072661330731709e-09,7.459223258022376e-05,3.7349250962918217e-05
171,1.5876457424765354e-08,7.996091017699606e-09,7.43187321315545e-05,3.743022328879068e-05
172,1.5636200715010378e-08,7.920664231148721e-09,7.405014586219499e-05,3.75107964097047e-05
173,1.5401419648276753e-08,7.846359414269051e-09,7.378638566057746e-05,3.759098284407421e-05
174,1.5171955468460794e-08,7.773155187921142e-09,7.352736254439848e-05,3.7670793379551946e-05
175,1.494765433917748e-08,7.701030360268841e-09,7.327298673184072e-05,3.7750237101116406e-05
176,1.4728367181988616e-08,7.629963935924293e-09,7.302316771224831e-05,3.7829321420826905e-05
177,1.4513949520737857e-08,7.559935124615602e-09,7.277781431622784e-05,3.790805210917065e-05
178,1.4304261331722607e-08,7.49092334938755e-09,7.253683478514651e-05,3.798643332792672e-05
179,1.4099166899446179e-08,7.4229082543457276e-09,7.230013683999911e-05,3.8064467664471425e-05
180,1.3898534677706417e-08,7.3558697119544205e-09,7.2067627749616e-05,3.814215616745062e-05
181,1.3702237155788879e-08,7.2897878298985355e-09,7.183921439818454e-05,3.8219498383744526e-05
182,1.3510150729544132e-08,7.224642957519817e-09,7.161480335205652e-05,3.8296492396651434e-05
183,1.3322155577139085e-08,7.160415691837363e-09,7.139430092581317e-05,3.837313486521629e-05
184,1.3138135539282933e-08,7.097086883162624e-09,7.117761324756174e-05,3.844942106463178e-05
185,1.2957978003737244e-08,7.034637640318651e-09,7.096464632343435e-05,3.852534492763865e-05
186,1.2781573793929187e-08,6.973049335473469e-09,7.075530610126223e-05,3.860089908685324e-05
187,1.2608817061495386e-08,6.912303608597253e-09,7.054949853339763e-05,3.867607491795074e-05
188,1.2439605182591816e-08,6.8523823715527585e-09,7.034712963865464e-05,3.875086258363213e-05
189,1.2273838657813057e-08,6.793267811828486e-09,7.014810556334102e-05,3.882525107830446e-05
